County,State,CountyFIPS,Percentage,Year
Adams County,Ohio,39001,7.4,2014
Allen County,Ohio,39003,10.2,2014
Ashland County,Ohio,39005,6.7,2014
Ashtabula County,Ohio,39007,9.4,2014
Athens County,Ohio,39009,9.5,2014
Auglaize County,Ohio,39011,8,2014
Belmont County,Ohio,39013,11.7,2014
Brown County,Ohio,39015,9.7,2014
Butler County,Ohio,39017,9.9,2014
Carroll County,Ohio,39019,7.3,2014
Champaign County,Ohio,39021,9.4,2014
Clark County,Ohio,39023,9,2014
Clermont County,Ohio,39025,9.4,2014
Clinton County,Ohio,39027,8.1,2014
Columbiana County,Ohio,39029,8.9,2014
Coshocton County,Ohio,39031,10.4,2014
Crawford County,Ohio,39033,9.2,2014
Cuyahoga County,Ohio,39035,9.8,2014
Darke County,Ohio,39037,8.3,2014
Defiance County,Ohio,39039,8.4,2014
Delaware County,Ohio,39041,8,2014
Erie County,Ohio,39043,7.9,2014
Fairfield County,Ohio,39045,9.4,2014
Fayette County,Ohio,39047,8.6,2014
Franklin County,Ohio,39049,10.1,2014
Fulton County,Ohio,39051,9.7,2014
Gallia County,Ohio,39053,10.3,2014
Geauga County,Ohio,39055,7.9,2014
Greene County,Ohio,39057,8.4,2014
Guernsey County,Ohio,39059,8.8,2014
Hamilton County,Ohio,39061,9.2,2014
Hancock County,Ohio,39063,8.7,2014
Hardin County,Ohio,39065,7.4,2014
Harrison County,Ohio,39067,8.8,2014
Henry County,Ohio,39069,8.5,2014
Highland County,Ohio,39071,7.4,2014
Hocking County,Ohio,39073,10.7,2014
Holmes County,Ohio,39075,7.2,2014
Huron County,Ohio,39077,9.9,2014
Jackson County,Ohio,39079,10.6,2014
Jefferson County,Ohio,39081,11.8,2014
Knox County,Ohio,39083,8.4,2014
Lake County,Ohio,39085,7.7,2014
Lawrence County,Ohio,39087,12.6,2014
Licking County,Ohio,39089,8.6,2014
Logan County,Ohio,39091,8.5,2014
Lorain County,Ohio,39093,8.9,2014
Lucas County,Ohio,39095,10.3,2014
Madison County,Ohio,39097,8.3,2014
Mahoning County,Ohio,39099,9,2014
Marion County,Ohio,39101,9.9,2014
Medina County,Ohio,39103,7.2,2014
Meigs County,Ohio,39105,12.7,2014
Mercer County,Ohio,39107,8.2,2014
Miami County,Ohio,39109,9.3,2014
Monroe County,Ohio,39111,10,2014
Montgomery County,Ohio,39113,10.8,2014
Morgan County,Ohio,39115,8.7,2014
Morrow County,Ohio,39117,9.3,2014
Muskingum County,Ohio,39119,10,2014
Noble County,Ohio,39121,7.8,2014
Ottawa County,Ohio,39123,6,2014
Paulding County,Ohio,39125,8.4,2014
Perry County,Ohio,39127,9.7,2014
Pickaway County,Ohio,39129,8.5,2014
Pike County,Ohio,39131,8.2,2014
Portage County,Ohio,39133,7.7,2014
Preble County,Ohio,39135,8.6,2014
Putnam County,Ohio,39137,6.5,2014
Richland County,Ohio,39139,8.8,2014
Ross County,Ohio,39141,10.6,2014
Sandusky County,Ohio,39143,9.1,2014
Scioto County,Ohio,39145,12.9,2014
Seneca County,Ohio,39147,9.9,2014
Shelby County,Ohio,39149,6.9,2014
Stark County,Ohio,39151,10,2014
Summit County,Ohio,39153,8.8,2014
Trumbull County,Ohio,39155,8.6,2014
