County,State,CountyFIPS,Percentage,Year
Barbour County,West Virginia,54001,10.6,2014
Berkeley County,West Virginia,54003,8.7,2014
Boone County,West Virginia,54005,11,2014
Braxton County,West Virginia,54007,9.5,2014
Brooke County,West Virginia,54009,10.5,2014
Cabell County,West Virginia,54011,10.9,2014
Calhoun County,West Virginia,54013,7.7,2014
Clay County,West Virginia,54015,9.3,2014
Doddridge County,West Virginia,54017,8,2014
Fayette County,West Virginia,54019,10.8,2014
Gilmer County,West Virginia,54021,7.7,2014
Grant County,West Virginia,54023,8,2014
Greenbrier County,West Virginia,54025,9.2,2014
Hampshire County,West Virginia,54027,7.8,2014
Hancock County,West Virginia,54029,7.8,2014
Hardy County,West Virginia,54031,10.4,2014
Harrison County,West Virginia,54033,11.1,2014
Jackson County,West Virginia,54035,9,2014
Jefferson County,West Virginia,54037,7.7,2014
Kanawha County,West Virginia,54039,11.8,2014
Lewis County,West Virginia,54041,9.4,2014
Lincoln County,West Virginia,54043,10,2014
Logan County,West Virginia,54045,14,2014
Marion County,West Virginia,54049,8.1,2014
Marshall County,West Virginia,54051,10.1,2014
Mason County,West Virginia,54053,9.5,2014
Mcdowell County,West Virginia,54047,12.7,2014
Mercer County,West Virginia,54055,11.6,2014
Mineral County,West Virginia,54057,9,2014
Mingo County,West Virginia,54059,10.1,2014
Monongalia County,West Virginia,54061,9,2014
Monroe County,West Virginia,54063,7.9,2014
Morgan County,West Virginia,54065,8.7,2014
Nicholas County,West Virginia,54067,10.6,2014
Ohio County,West Virginia,54069,8.9,2014
Pendleton County,West Virginia,54071,8,2014
Pleasants County,West Virginia,54073,7.3,2014
Pocahontas County,West Virginia,54075,8.2,2014
Preston County,West Virginia,54077,8,2014
Putnam County,West Virginia,54079,8.3,2014
Raleigh County,West Virginia,54081,12.2,2014
Randolph County,West Virginia,54083,8.2,2014
Ritchie County,West Virginia,54085,9.1,2014
Roane County,West Virginia,54087,9.8,2014
Summers County,West Virginia,54089,10.1,2014
Taylor County,West Virginia,54091,7.2,2014
Tucker County,West Virginia,54093,7.4,2014
Tyler County,West Virginia,54095,7.5,2014
Upshur County,West Virginia,54097,8.7,2014
Wayne County,West Virginia,54099,12.9,2014
Webster County,West Virginia,54101,9.2,2014
Wetzel County,West Virginia,54103,7.4,2014
Wirt County,West Virginia,54105,8.5,2014
Wood County,West Virginia,54107,10.8,2014
Wyoming County,West Virginia,54109,10.3,2014
Barbour County,West Virginia,54001,11.5,2015
Berkeley County,West Virginia,54003,9.3,2015
Boone County,West Virginia,54005,11.9,2015
Braxton County,West Virginia,54007,8.4,2015
Brooke County,West Virginia,54009,11.7,2015
Cabell County,West Virginia,54011,11.1,2015
Calhoun County,West Virginia,54013,6.5,2015
Clay County,West Virginia,54015,10,2015
Doddridge County,West Virginia,54017,8.5,2015
Fayette County,West Virginia,54019,12.4,2015
Gilmer County,West Virginia,54021,9,2015
Grant County,West Virginia,54023,10.8,2015
Greenbrier County,West Virginia,54025,10.8,2015
Hampshire County,West Virginia,54027,8.9,2015
Hancock County,West Virginia,54029,9.8,2015
Hardy County,West Virginia,54031,8.2,2015
Harrison County,West Virginia,54033,10.6,2015
Jackson County,West Virginia,54035,8.7,2015
Jefferson County,West Virginia,54037,5.8,2015
Kanawha County,West Virginia,54039,12.4,2015
Lewis County,West Virginia,54041,9.8,2015
Lincoln County,West Virginia,54043,10.7,2015
Logan County,West Virginia,54045,14.3,2015
Marion County,West Virginia,54049,8.3,2015
Marshall County,West Virginia,54051,9.4,2015
Mason County,West Virginia,54053,9.3,2015
Mcdowell County,West Virginia,54047,13.7,2015
Mercer County,West Virginia,54055,9.8,2015
Mineral County,West Virginia,54057,9.6,2015
Mingo County,West Virginia,54059,11.8,2015
Monongalia County,West Virginia,54061,10,2015
Monroe County,West Virginia,54063,12.8,2015
Morgan County,West Virginia,54065,8.5,2015
Nicholas County,West Virginia,54067,7.8,2015
